,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
1821347,1023,2018-07-07 13:25:07.8990,2018-07-07 13:42:11.6600,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,21177,Single Ride,Customer,1988,2
1720653,223,2018-07-23 15:05:41.0750,2018-07-23 15:09:25.0060,3474,6 Ave & Spring St,40.7252556952547,-74.00412082672119,2010,Grand St & Greene St,40.72165481,-74.00234737,31100,Annual Membership from Citi Bike App,Subscriber,1954,1
1237741,387,2018-07-13 07:46:40.0940,2018-07-13 07:53:07.9020,3124,46 Ave & 5 St,40.74731,-73.95451,3128,21 St & 43 Ave,40.75052534,-73.94594845,26478,Citi Bike Annual Membership,Subscriber,1960,1
1556840,2666,2018-07-08 17:10:25.8280,2018-07-08 17:54:52.4170,3354,3 St & Prospect Park West,40.668132,-73.97363831,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,17282,Annual Membership,Subscriber,1986,1
1236885,2105,2018-07-19 10:20:09.6160,2018-07-19 10:55:15.4990,3123,31 St & Thomson Ave,40.74469738,-73.93540375,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,24833,24 Hour,Customer,1969,0
125052,703,2018-07-22 15:58:51.1300,2018-07-22 16:10:34.8040,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,313,Washington Ave & Park Ave,40.69610226,-73.96751037,25384,Citi Bike Annual Membership,Subscriber,1990,2
310742,1578,2018-07-25 16:40:04.5460,2018-07-25 17:06:22.5970,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,29097,Annual Membership from Citi Bike App,Subscriber,1973,1
1365526,365,2018-07-03 21:28:11.4670,2018-07-03 21:34:16.7350,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,31403,Annual Membership from Citi Bike App,Subscriber,1990,2
868511,1116,2018-07-16 19:08:48.6010,2018-07-16 19:27:25.2170,494,W 26 St & 8 Ave,40.74734825,-73.99723551,458,11 Ave & W 27 St,40.751396,-74.00522600000001,31526,Annual Membership,Subscriber,1993,1
1557245,749,2018-07-13 22:28:58.5260,2018-07-13 22:41:27.6980,3354,3 St & Prospect Park West,40.668132,-73.97363831,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,25949,Annual Membership from Citi Bike App,Subscriber,1988,2
420323,998,2018-07-28 09:02:35.4010,2018-07-28 09:19:13.4560,360,William St & Pine St,40.70717936,-74.00887308,307,Canal St & Rutgers St,40.71427487,-73.98990025,28508,Annual Membership,Subscriber,1981,2
384642,196,2018-07-29 11:55:11.3620,2018-07-29 11:58:27.7240,349,Rivington St & Ridge St,40.71850211,-73.98329859,312,Allen St & Stanton St,40.722055,-73.989111,20241,Annual Membership from Citi Bike App,Subscriber,1997,1
1850601,1202,2018-07-11 10:28:12.3500,2018-07-11 10:48:15.0720,3648,Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,3112,Milton St & Franklin St,40.72906,-73.95779,31106,FREE Bonus Month with Annual Membership,Subscriber,1989,1
1090228,166,2018-07-03 18:24:58.7820,2018-07-03 18:27:44.8680,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,28218,Annual Membership,Subscriber,1976,1
1786364,1352,2018-07-25 17:38:33.5880,2018-07-25 18:01:06.1780,3559,21 St & 38 Ave,40.7576314,-73.9391224,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,33018,Citi Bike Annual Membership,Subscriber,1980,1
551373,676,2018-07-27 09:57:55.8470,2018-07-27 10:09:12.1640,405,Washington St & Gansevoort St,40.739323,-74.008119,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,31259,Annual Membership from Citi Bike App,Subscriber,1957,1
482260,226,2018-07-20 16:50:34.3160,2018-07-20 16:54:21.2950,383,Greenwich Ave & Charles St,40.735238,-74.000271,358,Christopher St & Greenwich St,40.73291553,-74.00711384,30545,Annual Membership,Subscriber,1979,2
1776955,2081,2018-07-22 13:45:21.1000,2018-07-22 14:20:02.9230,3547,Broadway & Moylan Pl,40.8143256,-73.9590255,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,20854,Day Pass,Customer,1987,2
